Dystans do przejscia: 100, dlugosc kroku: 20
84: (x,y) = (-4.49584, 7.13146)
85: (x,y) = (-3.7527, 6.46233)
86: (x,y) = (-2.76789, 6.63597)
87: (x,y) = (-2.64602, 5.64343)
88: (x,y) = (-3.63629, 5.50425)
89: (x,y) = (-4.51924, 5.97373)
90: (x,y) = (-5.35791, 6.51837)
91: (x,y) = (-5.88783, 7.36641)
92: (x,y) = (-6.77077, 7.83588)
93: (x,y) = (-7.55878, 7.22022)
94: (x,y) = (-8.54359, 7.04658)
95: (x,y) = (-9.10278, 7.87561)
96: (x,y) = (-9.05045, 8.87424)
97: (x,y) = (-9.20688, 9.86193)
98: (x,y) = (-8.40825, 10.4637)
99: (x,y) = (-8.37335, 11.4631)
100: (x,y) = (-9.31887, 11.1376)
101: (x,y) = (-9.07695, 12.1079)
102: (x,y) = (-10.0745, 12.1776)
103: (x,y) = (-10.9405, 12.6776)
104: (x,y) = (-10.2334, 11.9705)
105: (x,y) = (-9.47872, 11.3145)
106: (x,y) = (-8.83593, 12.0805)
107: (x,y) = (-9.60197, 11.4377)
108: (x,y) = (-10.4849, 10.9682)
109: (x,y) = (-10.4152, 9.97068)
110: (x,y) = (-11.2538, 9.42604)
111: (x,y) = (-10.9283, 8.48052)
112: (x,y) = (-11.0154, 9.47671)
113: (x,y) = (-11.3574, 10.4164)
114: (x,y) = (-11.462, 11.4109)
115: (x,y) = (-12.3006, 10.8663)
116: (x,y) = (-11.8158, 11.7409)
117: (x,y) = (-10.8172, 11.7932)
118: (x,y) = (-11.7569, 11.4512)
119: (x,y) = (-10.7956, 11.7269)
120: (x,y) = (-11.3107, 10.8697)
121: (x,y) = (-12.1093, 11.4715)
122: (x,y) = (-11.7509, 12.4051)
123: (x,y) = (-11.0818, 13.1482)
124: (x,y) = (-10.2938, 12.5326)
125: (x,y) = (-11.0252, 11.8506)
126: (x,y) = (-10.6025, 10.9443)
127: (x,y) = (-11.4772, 11.4291)
128: (x,y) = (-12.3682, 11.8831)
129: (x,y) = (-13.2745, 11.4604)
130: (x,y) = (-13.379, 12.455)
131: (x,y) = (-13.5354, 13.4427)
132: (x,y) = (-14.533, 13.3729)
133: (x,y) = (-14.875, 12.4332)
134: (x,y) = (-13.8969, 12.6411)
135: (x,y) = (-14.7798, 13.1106)
136: (x,y) = (-15.7134, 12.7522)
Po 137 krokach delikwent osiagnal polozenie:
(x,y) = (-15.7134, 12.7522)
 czyli
(m,a) = (20.2368, 140.939)
Srednia dlugosc kroku pozornego = 0.147714
